Element,MariaValue,Mass,SolarMass
H,12,1.00002,0.709
He,10.925,3.999834,0.2734
Z,0,0,0.0176
Fe,7.5,55.909,0.001304959188745
O,8.77,16.004379,0.006955911257361
Mg,7.55,24.3202,0.000636916276382
C,8.56,12.01,0.003218534825832
Si,7.59,28.108,0.000807133085849
Ca,6.37,40.094,6.93736574206327E-05
Mn,5.52,55,1.34424334421465E-05
Cr,5.74,52.055,2.1114347074249E-05
Co,4.95,59,3.88121067287546E-06
Eu,4,153,1.129293E-06
N,7.98,14.07,0.000991766199034
F,4.4,19,3.52264441268472E-07
Ne,8.16,20.2,0.002155095771471
Na,6.29,22.99,3.30867550758817E-05
Al,6.43,26.9,5.34401274631404E-05
P,5.41,30.97,5.87565666712948E-06
S,7.16,32.06,0.000342041437789
Cl,5.25,35.5,4.65954551555154E-06
Ar,6.5,39.95,9.32463817817627E-05
K,5.14,39.09,3.98273009487455E-06
Sc,3.07,45,3.9023634838539E-08
Ti,4.94,48,3.0857194835836E-06
V,3.89,51,2.92203478359655E-07
Ni,6.24,58.7,7.5292775472785E-05
