  ele   Z    A   initial      013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.2158E-01  6.1592E+00  6.8845E+00  8.5593E+00  1.0135E+01  1.1576E+01  1.4539E+01  2.0463E+01  2.5220E+01  3.6732E+01
  He    2    0  2.6503E-01  4.6412E+00  5.1266E+00  7.1699E+00  8.3323E+00  1.0039E+01  1.3402E+01  2.2505E+01  3.1158E+01  5.2988E+01
  Li    3    0  9.0621E-09  9.0877E-10  1.1292E-09  1.9182E-09  2.4323E-09  2.9523E-09  4.1344E-09  6.0427E-09  7.7488E-09  1.1843E-08
  Be    4    0  1.5889E-10  2.2919E-11  2.6008E-11  6.2224E-11  7.6757E-11  9.1030E-11  1.1843E-10  1.7102E-10  1.9062E-10  2.9079E-10
  B     5    0  3.9841E-09  8.2936E-09  9.2691E-09  1.1664E-08  1.4077E-08  1.6358E-08  2.1363E-08  3.1384E-08  3.8807E-08  5.6208E-08
  C     6    0  2.3799E-03  1.1473E-01  2.2174E-01  4.1045E-01  6.2071E-01  8.0720E-01  1.1542E+00  3.0296E+00  4.2791E+00  5.9765E+00
  N     7    0  6.9691E-04  3.3102E-02  3.6638E-02  4.3757E-02  5.9396E-02  7.0906E-02  1.0699E-01  2.0763E-01  2.8561E-01  4.9758E-01
  O     8    0  5.7706E-03  2.4712E-01  5.8599E-01  1.2565E+00  2.4772E+00  3.2273E+00  5.7599E+00  7.8522E+00  1.1314E+01  1.4823E+01
  F     9    0  5.0785E-07  3.6757E-06  4.0664E-06  5.4592E-06  6.2331E-06  1.1570E-05  6.0499E-05  1.4257E-05  1.5633E-05  2.5628E-05
  Ne   10    0  1.2619E-03  4.5674E-02  1.4136E-01  4.1987E-01  8.8933E-01  5.9339E-01  1.2693E+00  1.1451E+00  1.2044E+00  1.2340E+00
  Na   11    0  2.9424E-05  1.0372E-03  2.4432E-03  6.5923E-03  2.1658E-02  1.3856E-02  3.0266E-02  2.8379E-02  2.4848E-02  2.1633E-02
  Mg   12    0  7.1276E-04  2.1835E-02  4.7188E-02  1.3051E-01  1.6000E-01  1.3584E-01  2.5807E-01  2.8062E-01  3.8167E-01  6.4358E-01
  Al   13    0  5.6020E-05  2.0263E-03  4.4265E-03  1.2025E-02  1.7666E-02  1.4759E-02  2.9851E-02  2.9812E-02  3.1563E-02  2.9031E-02
  Si   14    0  6.6960E-04  7.4380E-02  1.3486E-01  1.7383E-01  1.7770E-01  4.2880E-01  3.8493E-01  6.1373E-01  9.4059E-01  1.2310E+00
  P    15    0  5.8660E-06  4.5202E-04  8.4863E-04  1.2663E-03  1.5422E-03  2.7266E-03  3.4379E-03  4.7615E-03  6.9514E-03  9.0514E-03
  S    16    0  3.1146E-04  3.2198E-02  5.9087E-02  6.2735E-02  8.1705E-02  2.1749E-01  1.8839E-01  3.1693E-01  4.9485E-01  5.8204E-01
  Cl   17    0  8.2607E-06  1.8328E-04  3.0650E-04  3.8573E-04  7.5925E-04  1.1897E-03  1.5576E-03  2.3056E-03  3.2592E-03  3.5612E-03
  Ar   18    0  6.7141E-05  6.2619E-03  1.1204E-02  1.1654E-02  1.5941E-02  4.2238E-02  3.7934E-02  6.2666E-02  9.7731E-02  1.1186E-01
  K    19    0  3.0871E-06  7.4270E-05  1.1805E-04  1.4235E-04  2.2987E-04  3.7935E-04  4.7525E-04  7.5110E-04  1.0940E-03  1.3759E-03
  Ca   20    0  6.4609E-05  5.1860E-03  8.9319E-03  9.5955E-03  1.2471E-02  3.3373E-02  3.1472E-02  4.8975E-02  7.7381E-02  8.9685E-02
  Sc   21    0  4.6794E-08  1.0723E-06  1.6708E-06  4.5404E-06  1.1433E-05  1.8391E-05  3.4045E-05  5.1195E-05  7.6394E-05  8.5666E-05
  Ti   22    0  3.1440E-06  1.3764E-04  1.5876E-04  1.8710E-04  2.7055E-04  4.5379E-04  5.3947E-04  7.7281E-04  1.0196E-03  1.3343E-03
  V    23    0  3.1954E-07  1.5531E-05  2.8208E-05  3.2297E-05  3.9732E-05  7.3535E-05  6.3271E-05  1.0144E-04  1.3987E-04  1.8848E-04
  Cr   24    0  1.6728E-05  1.0826E-03  1.8222E-03  2.0234E-03  2.9109E-03  5.2116E-03  4.8049E-03  6.0370E-03  6.7089E-03  7.7250E-03
  Mn   25    0  1.0898E-05  5.8223E-04  1.1074E-03  1.2509E-03  1.5335E-03  2.6508E-03  2.1634E-03  3.1308E-03  4.0426E-03  4.9574E-03
  Fe   26    0  1.3016E-03  9.0877E-02  9.7162E-02  1.0457E-01  1.0869E-01  1.2215E-01  1.2503E-01  1.5527E-01  1.8728E-01  2.4672E-01
  Co   27    0  4.2445E-06  2.4734E-04  2.6984E-04  5.0699E-04  8.6934E-04  7.9054E-04  1.3275E-03  1.8294E-03  1.8931E-03  2.2064E-03
  Ni   28    0  7.1789E-05  7.3136E-03  6.7566E-03  7.3632E-03  6.4483E-03  5.8808E-03  7.8671E-03  1.1575E-02  1.6353E-02  2.0959E-02
  Cu   29    0  7.2535E-07  2.6141E-05  4.5423E-05  1.4373E-04  4.4366E-04  6.1946E-04  1.3113E-03  1.8698E-03  2.8361E-03  3.4881E-03
  Zn   30    0  1.7499E-06  4.7965E-05  6.1037E-05  1.4299E-04  3.8439E-04  7.0951E-04  1.6486E-03  2.4134E-03  4.1727E-03  5.6497E-03
  Ga   31    0  5.6340E-08  1.6704E-06  2.9918E-06  1.1044E-05  3.9252E-05  7.9013E-05  1.9873E-04  2.9868E-04  5.5395E-04  7.6167E-04
  Ge   32    0  2.3903E-07  4.9366E-06  7.8200E-06  2.5153E-05  9.6575E-05  2.0882E-04  5.2733E-04  8.2792E-04  1.5233E-03  1.9626E-03
  As   33    0  1.1016E-08  2.7682E-07  5.0689E-07  1.7237E-06  6.3347E-06  2.0377E-05  4.0686E-05  7.0313E-05  1.3483E-04  1.7292E-04
  Se   34    0  1.2730E-07  2.0689E-06  2.8786E-06  8.4581E-06  3.3756E-05  8.3794E-05  2.0331E-04  3.4049E-04  6.4723E-04  8.3433E-04
  Br   35    0  2.0417E-08  3.0439E-07  4.0755E-07  1.2976E-06  5.4597E-06  1.0892E-05  3.2112E-05  4.7022E-05  7.6512E-05  9.6784E-05
  Kr   36    0  1.0981E-07  1.4473E-06  1.8745E-06  4.6000E-06  1.4150E-05  2.5022E-05  7.8369E-05  1.3553E-04  3.3384E-04  5.7819E-04
  Rb   37    0  2.0863E-08  3.0606E-07  4.3650E-07  1.1424E-06  3.1382E-06  7.5254E-06  2.2453E-05  4.1439E-05  1.0183E-04  1.6721E-04
