  ele   Z    A   initial      013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.2158E-01  6.1592E+00  6.8845E+00  8.5593E+00  1.0135E+01  1.1576E+01  1.4539E+01  2.0463E+01  2.5220E+01  3.6732E+01
  He    2    0  2.6503E-01  4.6412E+00  5.1266E+00  7.1699E+00  8.3323E+00  7.3356E+00  1.0975E+01  2.1612E+01  3.0100E+01  5.1979E+01
  Li    3    0  9.0621E-09  9.0877E-10  1.1292E-09  1.9182E-09  2.4323E-09  2.9523E-09  4.1344E-09  6.0427E-09  7.7488E-09  1.1843E-08
  Be    4    0  1.5889E-10  2.2919E-11  2.6008E-11  6.2224E-11  7.6757E-11  9.1030E-11  1.1843E-10  1.7102E-10  1.9062E-10  2.9079E-10
  B     5    0  3.9841E-09  8.2936E-09  9.2691E-09  1.1664E-08  1.4077E-08  1.6358E-08  2.1363E-08  3.1384E-08  3.8807E-08  5.6208E-08
  C     6    0  2.3799E-03  1.1473E-01  2.2174E-01  4.1045E-01  6.2071E-01  2.6496E-02  3.3736E-02  3.9998E-01  1.1243E+00  2.0202E+00
  N     7    0  6.9691E-04  3.3102E-02  3.6638E-02  4.3757E-02  5.9396E-02  6.7805E-02  1.0457E-01  2.0758E-01  2.8559E-01  4.9753E-01
  O     8    0  5.7706E-03  2.4712E-01  5.8599E-01  1.2565E+00  2.4772E+00  7.3969E-02  8.7476E-02  1.4938E-01  2.4224E-01  3.6860E-01
  F     9    0  5.0785E-07  3.6757E-06  4.0664E-06  5.4592E-06  6.2331E-06  6.2210E-06  7.3308E-06  1.3569E-05  1.5300E-05  2.5448E-05
  Ne   10    0  1.2619E-03  4.5674E-02  1.4136E-01  4.1987E-01  8.8933E-01  2.3378E-02  3.1174E-02  6.5653E-02  1.1453E-01  2.0786E-01
  Na   11    0  2.9424E-05  1.0372E-03  2.4432E-03  6.5923E-03  2.1658E-02  1.4343E-03  2.3296E-03  5.1006E-03  7.5270E-03  1.3637E-02
  Mg   12    0  7.1276E-04  2.1835E-02  4.7188E-02  1.3051E-01  1.6000E-01  1.3599E-02  1.8275E-02  3.0234E-02  4.0119E-02  6.4222E-02
  Al   13    0  5.6020E-05  2.0263E-03  4.4265E-03  1.2025E-02  1.7666E-02  1.1614E-03  1.6547E-03  3.0396E-03  4.3295E-03  7.5870E-03
  Si   14    0  6.6960E-04  7.4380E-02  1.3486E-01  1.7383E-01  1.7770E-01  1.2836E-02  1.7316E-02  2.8828E-02  3.8376E-02  6.1731E-02
  P    15    0  5.8660E-06  4.5202E-04  8.4863E-04  1.2663E-03  1.5422E-03  1.1244E-04  1.5169E-04  2.5315E-04  3.3973E-04  5.4829E-04
  S    16    0  3.1146E-04  3.2198E-02  5.9087E-02  6.2735E-02  8.1705E-02  5.9703E-03  8.0540E-03  1.3407E-02  1.7843E-02  2.8696E-02
  Cl   17    0  8.2607E-06  1.8328E-04  3.0650E-04  3.8573E-04  7.5925E-04  1.5835E-04  2.1361E-04  3.5834E-04  4.8829E-04  7.9392E-04
  Ar   18    0  6.7141E-05  6.2619E-03  1.1204E-02  1.1654E-02  1.5941E-02  1.2870E-03  1.7362E-03  2.8872E-03  3.8305E-03  6.1512E-03
  K    19    0  3.0871E-06  7.4270E-05  1.1805E-04  1.4235E-04  2.2987E-04  5.9176E-05  7.9830E-05  1.3523E-04  1.8881E-04  3.1054E-04
  Ca   20    0  6.4609E-05  5.1860E-03  8.9319E-03  9.5955E-03  1.2471E-02  1.2385E-03  1.6707E-03  2.7790E-03  3.6903E-03  5.9288E-03
  Sc   21    0  4.6794E-08  1.0723E-06  1.6708E-06  4.5404E-06  1.1433E-05  8.9698E-07  1.2100E-06  2.0568E-06  2.8767E-06  4.7435E-06
  Ti   22    0  3.1440E-06  1.3764E-04  1.5876E-04  1.8710E-04  2.7055E-04  6.0266E-05  8.1300E-05  1.3537E-04  1.8038E-04  2.9025E-04
  V    23    0  3.1954E-07  1.5531E-05  2.8208E-05  3.2297E-05  3.9732E-05  6.1251E-06  8.2631E-06  1.3859E-05  1.8623E-05  3.0102E-05
  Cr   24    0  1.6728E-05  1.0826E-03  1.8222E-03  2.0234E-03  2.9109E-03  3.2065E-04  4.3256E-04  7.1993E-04  9.5782E-04  1.5402E-03
  Mn   25    0  1.0898E-05  5.8223E-04  1.1074E-03  1.2509E-03  1.5335E-03  2.0890E-04  2.8181E-04  4.7997E-04  6.6609E-04  1.0923E-03
  Fe   26    0  1.3016E-03  9.0877E-02  9.7162E-02  1.0457E-01  1.0869E-01  2.4950E-02  3.3658E-02  5.6016E-02  7.4517E-02  1.1982E-01
  Co   27    0  4.2445E-06  2.4734E-04  2.6984E-04  5.0699E-04  8.6934E-04  8.1362E-05  1.0976E-04  1.8895E-04  2.7074E-04  4.5175E-04
  Ni   28    0  7.1789E-05  7.3136E-03  6.7566E-03  7.3632E-03  6.4483E-03  1.3761E-03  1.8564E-03  3.0842E-03  4.0897E-03  6.5643E-03
  Cu   29    0  7.2535E-07  2.6141E-05  4.5423E-05  1.4373E-04  4.4366E-04  1.3904E-05  1.8757E-05  3.1911E-05  4.5478E-05  7.5305E-05
  Zn   30    0  1.7499E-06  4.7965E-05  6.1037E-05  1.4299E-04  3.8439E-04  3.3543E-05  4.5250E-05  7.5224E-05  1.0017E-04  1.6104E-04
  Ga   31    0  5.6340E-08  1.6704E-06  2.9918E-06  1.1044E-05  3.9252E-05  1.0800E-06  1.4569E-06  2.4496E-06  3.3491E-06  5.4539E-06
