Mass,LogZ,LogLifetime
0.6,-4.00000135601498,11
0.6,-3.97826960281028,11
0.6,-3.94828168227714,11
0.6,-3.91829462528621,11
0.6,-3.90829914206188,11
0.6,-3.87831333319819,11
0.6,-3.84832853876008,11
0.6,-3.81834483122236,11
0.6,-3.80835051684106,11
0.6,-3.77836838023438,11
0.6,-3.74838752038975,11
0.6,-3.71840802849959,11
0.6,-3.70841518521583,11
0.6,-3.67843767042756,11
0.6,-3.64846176247406,11
0.6,-3.61848757608379,11
0.6,-3.60849658418641,11
0.6,-3.57852488589625,11
0.6,-3.54855520967794,11
0.6,-3.51858769984574,11
0.6,-3.50859903773045,11
0.6,-3.47863465876764,11
0.6,-3.44867282415438,11
0.6,-3.41871371538109,11
0.6,-3.40872798474307,11
0.6,-3.37877281518386,11
0.6,-3.34882084673124,11
0.6,-3.3188723075666,11
0.6,-3.30889026499398,11
0.6,-3.27894668133759,11
0.6,-3.24900712440638,11
0.6,-3.21907188098666,11
0.6,-3.20909447754128,11
0.6,-3.17916546692999,11
0.6,-3.14924152055428,11
0.6,-3.11932299870229,11
0.6,-3.10935142944407,11
0.6,-3.07944074504431,11
0.6,-3.04953642805274,11
0.6,-3.01963893085271,11
0.6,-3.00967469670604,11
0.6,-2.97978705173959,11
0.6,-2.94990741007618,11
0.6,-2.92003633934892,11
0.6,-2.91008132422962,11
0.6,-2.88022263375194,11
0.6,-2.85037399862145,11
0.6,-2.82053613047291,11
0.6,-2.81059269719211,11
0.6,-2.78077037855155,11
0.6,-2.75096068691431,11
0.6,-2.72116451348845,11
0.6,-2.71123562261375,11
0.6,-2.68145896754944,11
0.6,-2.65169815855285,11
0.6,-2.62195431020923,11
0.6,-2.612043666764,11
0.6,-2.58232430020291,11
0.6,-2.55262480322838,11
0.6,-2.52294656742231,11
0.6,-2.51305880097737,11
0.6,-2.48341124356003,11
0.6,-2.45378857542844,11
0.6,-2.42419253029141,11
0.6,-2.41433341453699,11
0.6,-2.38477576735624,11
0.6,-2.35524925742611,11
0.6,-2.32575603890718,11
0.6,-2.31593275699521,11
0.6,-2.2864875273396,11
0.6,-2.25708118902025,11
0.6,-2.22771640961662,11
0.6,-2.21793787112826,11
0.6,-2.18863295618063,11
0.6,-2.15937652063046,11
0.6,-2.13017185392102,11
0.6,-2.12044906777893,11
0.6,-2.09131890772656,11
0.6,-2.06224902853003,11
0.6,-2.03324346505566,11
0.6,-2.02358996939386,11
0.6,-1.99467687011307,11
0.6,-1.96583849417013,11
0.6,-1.93707975809983,11
0.6,-1.92751210212047,11
0.6,-1.89886770763868,11
0.6,-1.87031558428155,11
0.6,-1.84186167349766,11
0.6,-1.83239993655299,11
0.6,-1.8040867993814,11
0.6,-1.77588706325707,11
0.6,-1.74780783432957,11
0.6,-1.73847615265344,11
0.6,-1.71056930221695,11
0.6,-1.68280101229239,11
0.6,-1.65517967313705,11
0.6,-1.6460067238511,11
0.6,-1.61859506711142,11
0.6,-1.5913515124868,11
0.6,-1.56428580849403,11
0.6,-1.55530517372004,11
0.6,-1.52849247860539,11
0.6,-1.50188197425286,11
0.6,-1.47548476298071,11
0.6,-1.46673506617436,11
0.6,-1.44064018560277,11
0.6,-1.41478598871341,11
0.6,-1.38918480834161,11
0.6,-1.38070948599431,11
0.6,-1.35546539785297,11
0.6,-1.33050430230305,11
0.6,-1.30583947875825,11
0.6,-1.29768603407195,11
0.6,-1.27343723579762,11
0.6,-1.24951638848469,11
0.6,-1.2259372401877,11
0.6,-1.22184704654877,11
0.60618314011824,-4.00000135601498,11
0.60618314011824,-3.97826960281028,11
0.60618314011824,-3.94828168227714,11
0.60618314011824,-3.91829462528621,11
0.60618314011824,-3.90829914206188,11
0.60618314011824,-3.87831333319819,11
0.60618314011824,-3.84832853876008,11
0.60618314011824,-3.81834483122236,11
0.60618314011824,-3.80835051684106,11
0.60618314011824,-3.77836838023438,11
0.60618314011824,-3.74838752038975,11
0.60618314011824,-3.71840802849959,11
0.60618314011824,-3.70841518521583,11
0.60618314011824,-3.67843767042756,11
0.60618314011824,-3.64846176247406,11
0.60618314011824,-3.61848757608379,11
0.60618314011824,-3.60849658418641,11
